1	info@thkd.org.tr	Backend Developer	0	1	0	0	0	0	0	0	0
2	info@thkd.org.tr	Android Developer	0	0	0	0	0	0	1	0	0
3	merhaba@atesbocegi.org.tr	Frontend Developer	0	0	1	0	0	0	0	0	0
4	merhaba@atesbocegi.org.tr	Backend Developer	0	1	0	0	0	0	0	0	0
5	merhaba@atesbocegi.org.tr	IOS developer	0	0	0	0	0	0	0	1	0
6	doga@dogadernegi.org	DevOps Engineer	1	0	0	0	0	0	0	0	0
7	bilgi@hayatadestek.org	QA/Test Engineer	0	0	0	0	0	1	0	0	0
8	bilgi@hayatadestek.org	Backend Developer	0	1	0	0	0	0	0	0	0
9	filmmor@gmail.com	Full stack Developer	1	0	0	0	0	0	0	0	0
10	info@tog.org.tr	Frontend Developer	0	0	0	1	1	0	0	0	0
11	info@tog.org.tr	Full stack Developer	1	0	0	0	0	0	0	0	0
