Shopier@hotmail.com	Shopier	19768685	https://www.shopier.com/	İstanbul	0	1	0	1
Vivense@hotmail.com	Vivense	79772150	https://www.vivense.com/	İstanbul	0	1	1	1
Bundle@hotmail.com	Bundle	22218242	https://www.bundle.app/tr	İstanbul	1	0	0	1
Pixery@hotmail.com	Pixery	85305714	https://www.pixerylabs.com/	İstanbul	1	0	0	1
GamerArena@hotmail.com	Gamer Arena	49260725	https://gamerarena.com/	İzmir	0	0	0	1
Buybuddy@hotmail.com	Buybuddy	13854586	https://buybuddy.co/tr	Ankara	1	1	1	1
Kompanion@hotmail.com	Kompanion	53788533	https://www.kompanionapp.com/	İzmir	0	0	0	1
Lifemote@hotmail.com	Lifemote	84146573	https://lifemote.com/	Ankara	0	1	0	1
Pointr@hotmail.com	Pointr	42002491	https://www.pointr.tech/	İstanbul	1	0	1	1
Wamo@hotmail.com	Wamo	97178761	https://wamo.io/	Ankara	0	1	1	1
Prisync@hotmail.com	Prisync	85214321	https://prisync.com/	İstanbul	0	0	0	1
FazlaGıda@hotmail.com	Fazla Gıda	65057448	https://www.fazlagida.com/	Ankara	0	1	0	1
Kunduz@hotmail.com	Kunduz	87841221	https://kunduz.com/tr_tr/	İzmir	1	1	0	1
Zeplin@hotmail.com	Zeplin	60892187	https://zeplin.io/about	San Francisco	1	1	0	1
ProceedLabs@hotmail.com	Proceed Labs	49762152	https://proceedlabs.com/	İstanbul	1	1	1	1
