1	Shopier@hotmail.com	Frontend Developer	13000	3	0	0	1	0	0	0	0	0	1
2	Shopier@hotmail.com	Backend Developer	13000	2	0	1	0	0	0	0	0	0	0
3	Shopier@hotmail.com	Full stack Developer	5000	0	1	0	0	0	0	0	0	0	0
4	Vivense@hotmail.com	Backend Developer	15000	2	0	1	0	0	0	0	0	0	0
5	Vivense@hotmail.com	QA/Test Engineer	5000	0	0	0	0	0	0	0	1	0	0
6	Bundle@hotmail.com	Android Developer	10000	1	1	0	0	0	0	0	0	0	0
7	Bundle@hotmail.com	IOS developer	11000	4	0	0	0	0	0	0	0	1	0
8	Pixery@hotmail.com	IOS developer	8000	3	0	0	0	0	0	0	0	1	0
9	GamerArena@hotmail.com	QA/Test Engineer	11000	0	0	0	0	0	0	1	0	0	0
10	Buybuddy@hotmail.com	IOS developer	6000	4	0	0	0	0	0	0	0	1	0
11	Kompanion@hotmail.com	Full stack Developer	12000	4	1	0	0	0	1	0	0	0	0
12	Kompanion@hotmail.com	QA/Test Engineer	9000	4	0	0	0	1	0	0	0	0	0
13	Kompanion@hotmail.com	Android Developer	9000	5	0	0	0	0	0	0	0	0	1
14	Lifemote@hotmail.com	DevOps Engineer	10000	2	0	0	1	0	0	0	0	0	0
15	Pointr@hotmail.com	Android Developer	7000	1	0	1	0	0	0	0	0	0	0
16	Pointr@hotmail.com	QA/Test Engineer	13000	5	1	0	0	0	0	0	0	0	0
17	Wamo@hotmail.com	Android Developer	11000	4	0	0	0	0	0	0	1	0	0
18	Wamo@hotmail.com	QA/Test Engineer	14000	4	0	0	0	0	1	0	0	0	0
19	Prisync@hotmail.com	QA/Test Engineer	7000	1	1	0	0	0	0	0	0	0	0
20	FazlaGıda@hotmail.com	Backend Developer	12000	4	0	1	0	0	0	0	0	0	0
21	Kunduz@hotmail.com	Backend Developer	9000	2	0	1	0	0	0	0	0	0	0
22	Kunduz@hotmail.com	QA/Test Engineer	6000	3	0	1	0	1	0	0	0	0	0
23	Kunduz@hotmail.com	DevOps Engineer	11000	2	0	0	0	1	0	0	0	0	0
24	Zeplin@hotmail.com	Backend Developer	15000	1	0	1	0	0	0	0	0	0	0
25	ProceedLabs@hotmail.com	Full stack Developer	14000	4	1	0	0	0	0	0	0	0	0
26	ProceedLabs@hotmail.com	DevOps Engineer	6000	1	0	0	0	0	0	1	0	0	0
